,LSTAT,RM
477,24.91,5.304
15,8.47,5.834
332,7.83,6.031
423,23.29,6.103
19,11.28,5.727
325,5.08,6.431
335,8.01,6.037
56,5.77,6.383
437,26.45,6.152
409,19.78,6.852
334,6.75,6.31
181,9.45,6.144
227,6.36,7.163
434,15.17,6.208
180,7.56,7.765
25,16.51,5.599
493,12.01,5.707
238,6.36,6.481
244,12.5,5.593
250,5.9,6.487
418,20.62,5.957
117,10.3,6.021
42,5.81,6.169
322,7.7,6.041
347,6.36,6.516
182,4.82,7.155
155,15.02,6.152
280,3.76,7.82
126,27.26,5.613
329,7.34,6.333
31,13.04,6.072
113,17.09,6.092
148,28.32,5.186
432,12.03,6.425
338,8.51,6.059
57,3.95,6.816
194,4.38,6.604
24,16.3,5.924
17,14.67,5.99
298,4.97,6.345
66,10.24,5.787
211,23.98,5.404
404,27.38,5.531
94,10.59,6.249
154,15.12,6.129
441,19.52,6.406
23,19.88,5.813
225,4.63,8.725
433,16.22,6.436
447,16.44,6.251
5,5.21,6.43
116,12.04,6.176
45,10.21,5.682
16,6.58,5.935
468,18.13,5.926
360,7.79,6.398
3,2.94,6.998
405,22.98,5.683
185,13.15,6.153
60,13.15,5.741
110,13.0,6.195
321,6.87,6.376
265,10.45,5.56
29,11.98,6.674
262,5.91,8.398
478,18.03,6.185
26,14.81,5.813
7,19.15,6.172
492,13.35,5.983
108,12.27,6.474
37,8.77,5.85
157,4.59,6.943
472,14.36,6.437
118,15.37,5.872
114,10.45,6.254
175,5.33,6.546
192,2.87,7.178
272,7.73,6.538
144,29.29,4.903
373,34.77,4.906
383,24.56,5.52
356,17.6,6.212
277,4.16,6.826
220,9.71,6.951
450,17.44,6.749
141,34.41,5.019
369,3.73,6.683
67,8.1,5.878
361,14.19,6.251
168,11.1,6.319
499,15.1,5.569
394,16.35,5.887
400,26.77,5.987
193,5.03,6.8
249,6.56,6.718
109,15.55,6.229
420,15.02,6.411
145,27.8,6.13
92,8.16,6.442
152,12.12,5.012
222,9.93,6.879
304,6.93,7.236
83,7.51,6.167
248,9.52,6.433
165,9.81,6.101
163,3.32,8.375
199,4.56,6.975
231,5.25,7.412
74,6.78,6.273
311,5.98,6.122
455,18.13,6.525
253,3.54,8.259
119,13.61,5.731
284,7.85,7.088
302,8.67,6.495
483,10.42,5.762
357,13.27,6.395
403,19.77,5.349
228,3.92,7.686
261,7.26,7.52
237,4.73,7.358
386,28.28,4.652
476,18.68,6.484
36,11.41,5.841
196,4.08,7.287
139,18.46,6.151
368,3.26,4.97
247,10.15,6.226
287,7.14,6.209
378,23.69,6.38
59,9.22,5.927
111,10.16,6.715
89,5.7,7.079
266,14.79,7.014
6,12.43,6.012
364,5.29,8.78
503,5.64,6.976
341,5.49,7.241
158,6.43,6.066
150,14.1,6.122
177,6.29,6.315
397,19.92,5.747
184,13.98,5.604
318,10.36,6.382
10,20.45,6.377
384,30.63,4.368
103,13.44,6.137
81,7.22,6.619
38,10.13,5.966
317,15.94,5.782
167,12.14,5.877
475,24.1,6.162
299,4.74,7.041
296,7.39,6.549
198,6.62,7.274
377,21.24,6.794
146,16.65,5.628
396,19.37,6.405
147,29.53,4.926
428,21.52,6.193
289,9.51,6.565
123,25.41,5.856
490,29.68,5.093
96,11.34,6.163
143,26.42,5.468
239,7.37,6.606
275,2.98,6.854
97,4.21,8.069
353,4.5,6.728
122,17.93,5.961
183,5.68,6.563
202,3.11,7.61
246,9.16,6.108
484,13.34,5.871
301,9.5,6.59
354,8.05,5.663
410,10.11,5.757
399,29.97,5.852
286,12.93,6.23
125,14.81,5.986
305,8.93,6.616
223,7.6,6.618
422,14.1,5.648
219,10.5,6.373
129,18.34,5.637
424,17.16,5.565
291,3.56,7.148
331,12.43,5.706
380,17.21,6.968
480,10.74,6.242
358,11.48,6.127
297,15.84,5.79
294,10.4,6.009
370,2.96,7.016
438,34.02,5.935
112,16.21,5.913
179,5.04,6.98
310,12.64,4.973
342,8.65,6.54
333,5.68,6.316
487,11.45,5.905
457,16.94,5.936
233,3.95,8.247
314,9.28,6.567
164,11.64,5.854
136,16.9,5.942
197,8.61,7.107
258,7.79,7.333
232,2.47,8.337
115,15.76,5.928
120,14.37,5.87
352,7.79,5.884
224,4.14,8.266
406,23.34,4.138
340,9.29,5.968
127,17.19,5.693
285,8.23,6.453
415,29.05,6.434
107,14.09,6.127
374,37.97,4.138
449,19.31,6.417
133,15.03,5.822
367,13.33,3.863
44,9.55,6.069
495,17.6,5.67
65,4.67,6.29
283,3.16,7.923
85,6.53,6.63
242,11.22,6.358
186,4.45,7.831
425,24.39,5.896
159,7.39,6.51
12,15.71,5.889
35,9.68,5.933
28,12.8,6.495
170,14.43,5.875
142,26.82,5.403
402,20.31,6.404
349,5.89,6.939
221,21.46,6.164
95,6.65,6.625
51,9.43,6.115
240,11.38,6.897
376,23.24,6.649
382,23.6,5.536
178,6.92,6.86
41,4.84,6.77
440,22.11,5.818
391,18.76,6.051
206,10.97,6.326
282,3.01,7.645
254,6.57,6.108
416,25.79,6.782
4,5.33,7.147
256,3.11,7.454
453,16.74,7.393
100,9.42,6.727
226,3.13,8.04
431,19.69,6.833
213,9.38,6.375
426,15.69,5.837
171,12.03,5.88
98,3.57,7.82
292,4.7,6.63
215,9.47,6.182
61,14.44,5.966
47,18.8,6.03
32,27.71,5.95
267,7.44,8.297
327,12.79,6.083
200,4.45,7.135
451,17.73,6.655
27,17.28,6.047
393,15.17,6.193
230,11.65,5.981
260,9.59,7.203
288,7.6,6.315
162,1.92,7.802
429,24.08,6.38
138,21.32,5.857
62,6.73,6.456
135,16.96,6.335
128,15.39,6.431
482,7.01,7.061
8,29.93,5.631
326,6.15,6.312
469,14.76,5.713
64,8.05,7.104
300,6.07,6.871
14,10.26,6.096
156,16.14,5.272
40,1.98,7.024
379,21.78,6.223
465,14.13,5.759
407,12.13,5.608
216,13.51,5.888
279,4.85,6.812
439,22.88,5.627
504,6.48,6.794
337,10.56,5.895
236,9.54,6.631
207,18.06,5.783
212,16.03,5.807
295,6.27,6.678
462,13.99,6.317
251,3.59,6.438
494,13.59,5.926
464,13.22,6.209
303,4.86,6.982
350,5.98,6.49
269,13.65,5.92
201,7.43,6.162
161,1.73,7.489
43,7.44,6.211
217,9.69,6.642
401,20.32,6.343
190,5.1,6.951
309,9.97,5.972
259,6.9,6.842
105,16.47,5.851
53,8.43,5.998
389,20.85,5.39
1,9.14,6.421
446,17.79,6.341
488,18.06,5.454
49,16.2,5.602
419,22.74,6.824
80,5.29,6.727
205,10.87,5.891
34,20.34,6.096
430,17.64,6.348
263,11.25,7.327
427,14.52,6.202
366,14.0,4.963
91,8.2,6.405
339,9.74,5.985
479,13.11,6.229
52,5.28,6.511
345,10.53,6.014
264,8.1,7.206
241,12.4,6.095
13,8.26,5.949
315,11.5,5.705
88,5.5,7.007
387,31.99,5.0
273,6.58,7.691
166,3.7,7.929
328,9.97,5.868
498,12.92,6.019
134,17.31,5.757
306,6.47,7.42
486,14.98,6.114
319,12.73,6.113
243,5.19,6.393
54,14.8,5.888
363,14.64,5.803
50,13.45,5.963
461,14.65,6.376
174,9.64,5.859
445,23.98,6.459
189,5.39,7.185
502,9.08,6.12
463,10.29,6.513
187,6.68,6.782
169,11.32,6.402
58,6.86,6.145
48,30.81,5.399
344,4.61,6.874
235,10.88,6.086
252,3.53,6.957
21,13.83,5.965
313,7.9,6.266
459,14.7,6.081
160,5.5,6.25
276,6.05,7.267
443,18.85,6.485
191,4.69,6.739
385,30.81,5.277
293,8.58,6.127
413,20.08,5.155
343,7.18,6.696
257,5.12,8.704
308,4.54,6.635
149,21.45,5.597
130,12.6,6.458
151,13.28,5.404
359,12.67,6.112
99,6.19,7.416
372,8.88,5.875
87,8.44,6.121
458,16.23,6.301
330,9.09,6.144
214,29.55,5.412
466,17.15,5.952
121,14.27,6.004
505,7.88,6.03
20,21.02,5.57
188,4.56,6.556
71,9.88,5.961
106,18.66,5.836
270,13.0,5.856
348,5.99,6.635
435,23.27,6.629
102,10.63,6.405
