,MEDV
477,12.0
15,19.9
332,19.4
423,13.4
19,18.2
325,24.6
335,21.1
56,24.7
437,8.7
409,27.5
334,20.7
181,36.2
227,31.6
434,11.7
180,39.8
25,13.9
493,21.8
238,23.7
244,17.6
250,24.4
418,8.8
117,19.2
42,25.3
322,20.4
347,23.1
182,37.9
155,15.6
280,45.4
126,15.7
329,22.6
31,14.5
113,18.7
148,17.8
432,16.1
338,20.6
57,31.6
194,29.1
24,15.6
17,17.5
298,22.5
66,19.4
211,19.3
404,8.5
94,20.6
154,17.0
441,17.1
23,14.5
225,50.0
433,14.3
447,12.6
5,28.7
116,21.2
45,19.3
16,23.1
468,19.1
360,25.0
3,33.4
405,5.0
185,29.6
60,18.7
110,21.7
321,23.1
265,22.8
29,21.0
262,48.8
478,14.6
26,16.6
7,27.1
492,20.1
108,19.8
37,21.0
157,41.3
472,23.2
118,20.4
114,18.5
175,29.4
192,36.4
272,24.4
144,11.8
373,13.8
383,12.3
356,17.8
277,33.1
220,26.7
450,13.4
141,14.4
369,50.0
67,22.0
361,19.9
168,23.8
499,17.5
394,12.7
400,5.6
193,31.1
249,26.2
109,19.4
420,16.7
145,13.8
92,22.9
152,15.3
222,27.5
304,36.1
83,22.9
248,24.5
165,25.0
163,50.0
199,34.9
231,31.7
74,24.1
311,22.1
455,14.1
253,42.8
119,19.3
284,32.2
302,26.4
483,21.8
357,21.7
403,8.3
228,46.7
261,43.1
237,31.5
386,10.5
476,16.7
36,20.0
196,33.3
139,17.8
368,50.0
247,20.5
287,23.2
378,13.1
59,19.6
111,22.8
89,28.7
266,30.7
6,22.9
364,21.9
503,23.9
341,32.7
158,24.3
150,21.5
177,24.6
397,8.5
184,26.4
318,23.1
10,15.0
384,8.8
103,19.3
81,23.9
38,24.7
317,19.8
167,23.8
475,13.3
299,29.0
296,27.1
198,34.6
377,13.3
146,15.6
396,12.5
147,14.6
428,11.0
289,24.8
123,17.3
490,8.1
96,21.4
143,15.6
239,23.3
275,32.0
97,38.7
353,30.1
122,20.5
183,32.5
202,42.3
246,24.3
484,20.6
301,22.0
354,18.2
410,15.0
399,6.3
286,20.1
125,21.4
305,28.4
223,30.1
422,20.8
219,23.0
129,14.3
424,11.7
291,37.3
331,17.1
380,10.4
480,23.0
358,22.7
297,20.3
294,21.7
370,50.0
438,8.4
112,18.8
179,37.2
310,16.1
342,16.5
333,22.2
487,20.6
457,13.5
233,48.3
314,23.8
164,22.7
136,17.4
197,30.3
258,36.0
232,41.7
115,18.3
120,22.0
352,18.6
224,44.8
406,11.9
340,18.7
127,16.2
285,22.0
415,7.2
107,20.4
374,13.8
449,13.0
133,18.4
367,23.1
44,21.2
495,23.1
65,23.5
283,50.0
85,26.6
242,22.2
186,50.0
425,8.3
159,23.3
12,21.7
35,18.9
28,18.4
170,17.4
142,13.4
402,12.1
349,26.6
221,21.7
95,28.4
51,20.5
240,22.0
376,13.9
382,11.3
178,29.9
41,26.6
440,10.5
391,23.2
206,24.4
282,46.0
254,21.9
416,7.5
4,36.2
256,44.0
453,17.8
100,27.5
226,37.6
431,14.1
213,28.1
426,10.2
171,19.1
98,43.8
292,27.9
215,25.0
61,16.0
47,16.6
32,13.2
267,50.0
327,22.2
200,32.9
451,15.2
27,14.8
393,13.8
230,24.3
260,33.8
288,22.3
162,50.0
429,9.5
138,13.3
62,22.2
135,18.1
128,18.0
482,25.0
8,16.5
326,23.0
469,20.1
64,33.0
300,24.8
14,18.2
156,13.1
40,34.9
379,10.2
465,19.9
407,27.9
216,23.3
279,35.1
439,12.8
504,22.0
337,18.5
236,25.1
207,22.5
212,22.4
295,28.6
462,19.5
251,24.8
494,24.5
464,21.4
303,33.1
350,22.9
269,20.7
201,24.1
161,50.0
43,24.7
217,28.7
401,7.2
190,37.0
309,20.3
259,30.1
105,19.5
53,23.4
389,11.5
1,21.6
446,14.9
488,15.2
49,19.4
419,8.4
80,28.0
205,22.6
34,13.5
430,14.5
263,31.0
427,10.9
366,21.9
91,22.0
339,19.0
479,21.4
52,25.0
345,17.5
264,36.5
241,20.1
13,20.4
315,16.2
88,23.6
387,7.4
273,35.2
166,50.0
328,19.3
498,21.2
134,15.6
306,33.4
486,19.1
319,21.0
243,23.7
54,18.9
363,16.8
50,19.7
461,17.7
174,22.6
445,11.8
189,34.9
502,20.6
463,20.2
187,32.0
169,22.3
58,23.3
48,14.4
344,31.2
235,24.0
252,29.6
21,19.6
313,21.6
459,20.0
160,27.0
276,33.2
443,15.4
191,30.5
385,7.2
293,23.9
413,16.3
343,23.9
257,50.0
308,22.8
149,15.4
130,19.2
151,19.6
359,22.6
99,33.2
372,50.0
87,22.2
458,14.9
330,19.8
214,23.7
466,19.0
121,20.3
505,11.9
20,13.6
188,29.8
71,21.7
106,19.5
270,21.1
348,24.5
435,13.4
102,18.6
